client_name,campaign_id,campaign_type,industry,clicks,displays,spend,sales,order_value_euro,visits,start_day,end_day,CTR,CR,landing_rate,AOV,CPC,CPV,CPO,ROI
Client-1,24A544,Image Campaign,Robotics,1618830.0,162603405.0,78109.0,10186.0,443171.0,1291189.0,2022-01-23,2023-08-12,0.0099556961677261,0.0062919203194949,0.7976063084075345,43.50977634982894,0.048250107789393,0.0604936386294725,7.668582140160711,5.673770659893734
Client-2,JJ6699,Image Campaign,Robotics,105562.0,15219833.0,3965.0,1910.0,146299.0,66598.0,2022-04-08,2024-01-05,0.0069357856493183,0.0180932442225622,0.6308962074241082,76.59833311157591,0.0375626057789004,0.0595384872137132,2.0760569700407867,36.896065096937605
Client-3,2P5J6S,Video Campaign,Robotics,56336.0,14661070.0,695.0,41.0,4058.0,2067.0,2023-04-16,2023-05-15,0.0038425775777093,0.0007242222155164,0.0366939255861673,99.45034729166667,0.0123346947829417,0.336150863825582,17.031643767162823,5.839151443703157
Client-4,1JA664,Image Campaign,Robotics,305343.0,24570448.0,59482.0,32772.0,1022299.0,266359.0,2022-01-23,2023-01-15,0.0124272436459594,0.107327678598769,0.8723286389942849,31.194529937287925,0.1948028605995123,0.2233136135758447,1.8150291065900923,17.186793216717778
Client-5,414A95,Video Campaign,Robotics,25362.0,1944225.0,3267.0,4.0,439.0,8650.0,2023-07-02,2023-08-09,0.0130449381023414,0.0001675715530531,0.3410416247737784,103.36890701751106,0.1288112124349224,0.3776993864615974,768.6937913266431,0.1344734511763296
Client-7,J6A25J,Image Campaign,Robotics,13082.0,1950126.0,4428.0,234.0,8981.0,6683.0,2022-12-11,2024-01-05,0.0067084636219165,0.0178675849522448,0.5108180105256319,38.422363636363606,0.3384806783974689,0.6626247928282173,18.943840440783436,2.028224623009685
Client-8,J96619,Video Campaign,Robotics,271603.0,10955323.0,26396.0,867.0,132886.0,217598.0,2023-04-07,2023-07-17,0.0247918802757317,0.0031921585563932,0.801162947176035,153.27117647058822,0.0971870922452081,0.121307522505598,30.44557171214518,5.034268297528672
Client-9,JJS562,Video Campaign,Robotics,36327.0,7719366.0,676.0,41.0,22320.0,13289.0,2022-04-22,2022-08-14,0.0047059953155867,0.0011231222799382,0.3658102859282137,547.0567244435355,0.0186081034930819,0.0508681800618739,16.56819014765286,33.018496261103955
Client-10,4216J1,Image Campaign,Transportation,246.0,21159.0,38.0,3.0,3875.0,218.0,2023-08-14,2023-08-22,0.0116498614068211,0.0137931034482758,0.8862068965517241,1139.6182677891825,0.1553322393892076,0.1752776242135027,11.26158735571755,101.19517185209187
Client-12,JS9A9A,Image Campaign,Transportation,1851.0,655515.0,831.0,337.0,201349.0,1091.0,2023-02-19,2023-11-12,0.0028241920969302,0.1818181818181818,0.5890725436179982,598.1856710830054,0.4489123063221682,0.762066253444803,2.469017684771925,242.27678674495303
